from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
109821,109821,1,,,,,,52445606,52445512
109821,109821,1,,,,,,52445607,52445508
109821,109821,1,,,,,,52445608,52445504
109821,109821,1,,,,,,52445609,52445501
109821,109821,1,,,,,,52445610,52445497
109821,109821,1,,,,,,52445611,52445493
109821,109821,1,,,,,,52445612,52445489
109821,109821,1,,,,,,52445613,52445484
109821,109821,1,,,,,,52445614,52445475
109821,109821,1,,,,,,52445577,52445483
109821,109821,1,,,,,,52445578,52445486
109821,109821,1,,,,,,52445574,52445479
109821,109821,1,,,,,,52445579,52445487
109821,109821,1,,,,,,52445580,52445490
109821,109821,1,,,,,,52445581,52445492
109821,109821,1,,,,,,52445582,52445494
109821,109821,1,,,,,,52445583,52445496
109821,109821,1,,,,,,52445584,52445498
109821,109821,1,,,,,,52445585,52445500
109821,109821,1,,,,,,52445586,52445502
109821,109821,1,,,,,,52445587,52445503
109821,109821,1,,,,,,52445588,52445505
109821,109821,1,,,,,,52445589,52445507
109821,109821,1,,,,,,52445590,52445509
109821,109821,1,,,,,,52445591,52445511
109821,109821,1,,,,,,52445592,52445513
109821,109821,1,,,,,,52445593,52445515
109821,109821,1,,,,,,52445598,52445495
109821,109821,1,,,,,,52445600,52445506
109821,109821,1,,,,,,52445594,52445517
109821,109821,1,,,,,,52445595,52445518
109821,109821,1,,,,,,52445046,52445050
109853,109853,1,,,,,,52445569,52445530
109853,109853,1,,,,,,52445570,52445629
109853,109853,1,,,,,,52445558,52445466
109853,109853,1,,,,,,52445556,52445454
109853,109853,1,,,,,,52445557,52445470
109853,109853,1,,,,,,52445559,52445467
109853,109853,1,,,,,,52445541,52445469
109853,109853,1,,,,,,52445527,52445455
109853,109853,1,,,,,,52445561,52445456
109853,109853,1,,,,,,52445562,52445457
109853,109853,1,,,,,,52445563,52445458
109853,109853,1,,,,,,52445564,52445461
109853,109853,1,,,,,,52445565,52445459
109853,109853,1,,,,,,52445566,52445460
109853,109853,1,,,,,,52445473,52445446
109853,109853,1,,,,,,52445627,52445465
109853,109853,1,,,,,,52445542,52445463
109853,109853,1,,,,,,52445543,52445464
109853,109853,1,,,,,,52445544,52445447
109853,109853,1,,,,,,52445545,52445448
